time,lambda_max
0,627.5570878625164
1,574.875987373242
2,662.3799720023402
3,569.1046606208953
4,554.0609536967149
5,503.0658665150173
6,590.9629841720755
7,537.4212583175076
8,595.6913545970388
9,502.8313017850541
10,573.9740437140491
11,625.0415216760786
12,647.2969614785998
13,573.8313628658536
14,518.2801403551196
15,521.680391661156
16,585.2366323398544
17,525.1250108768832
18,676.394891444398
19,611.9862978636763
20,611.0682250493815
21,562.8566668294021
22,519.0226501220505
23,558.5499980731468
24,649.6528066987366
25,684.5119020184222
26,472.36416767439107
27,627.1060248455666
28,461.7703481098552
29,594.4310222962516
30,652.6510612864564
31,554.1835470699668
32,571.1436201880863
33,571.419202827826
34,642.3139657301891
35,544.4578620758118
36,474.8327316842807
37,547.4978203735445
38,558.0471743891748
39,615.0483772333926
40,560.3134782455138
41,574.1023150983103
42,529.7126109711984
43,622.9233586208838
44,693.2099547089786
45,507.2885878785654
46,636.040711303098
47,562.4473460483163
48,509.128470627048
49,618.6778590195472
50,635.4374088517831
51,637.8248333769113
52,632.6753736173085
53,635.7343473513195
54,526.4383552820391
55,649.5871849981866
56,727.0354996599295
57,655.3065310278162
58,525.4724149993294
59,576.9729991903523
60,616.3891314933617
61,606.8771162287328
62,475.2402719744973
63,680.8233978793415
64,553.5675794146098
65,537.6866360736896
66,565.5597434117882
67,575.5372930599689
68,530.3935905303961
69,551.0535753955475
70,500.23909709236045
71,730.4463827506182
72,636.3439606972756
73,554.4343330827107
74,540.1224543975488
75,679.6848281632238
76,509.6953347232759
77,606.7497797251885
78,597.6736131120189
79,581.3938587141181
80,536.5547702273793
81,512.8058543701578
82,650.8502370457073
83,707.549336993388
84,669.0400339148757
85,659.935043614856
86,617.7715729310679
87,553.7512496144061
88,626.1653634964152
89,776.6741402074417
90,559.3573872092945
91,581.3384659597251
92,600.6724550597482
93,691.1885439932555
94,547.9339885310291
95,641.7922613443129
96,651.3427070213402
97,565.7251941992697
98,510.41445206175933
99,581.9691111915813
100,603.8097264135612
101,641.1699947251977
102,624.0559816715532
103,551.5467774271706
104,773.65259890301
105,554.0519450032956
106,564.6721739576249
107,579.4196709784981
108,603.7118021574249
109,552.724534212875
110,602.4759076864118
111,536.5093314984108
112,504.323187969828
113,708.5808937981092
114,549.5667284877286
115,637.3698005714728
116,562.5157465659554
117,636.6782608075013
118,582.1904732943796
119,541.3397243833851
120,568.7409953060679
121,643.0157471497649
122,514.982874277115
123,713.242471549431
124,625.9637359319568
125,579.9409807522803
126,567.8195817954748
127,565.5102583455324
128,646.7598594810322
129,688.9837719663547
130,588.6714990348563
131,492.56352105085386
132,728.8684758741326
133,580.9247959048583
134,578.2456435651637
135,619.8915607040258
136,685.6696783624802
137,626.2918310742256
138,709.4230981734702
139,706.2074726692016
140,647.7518409885116
141,508.5131414342715
142,681.6989420415698
143,582.8881528338073
144,598.274503087683
145,629.395398397669
146,595.7278604976777
147,604.7826972244617
148,518.1892753368254
149,505.4748514461809
150,731.9360494885419
151,633.5094231422902
152,661.0826349666767
153,617.8897152653597
154,564.8645655114624
155,732.3786553071728
156,639.1586791962375
157,569.572561910846
158,498.7822059372497
159,600.7148330612479
160,612.4947646022722
161,622.6117684785335
162,582.3352627945828
163,579.4925903294074
164,615.4949054516482
165,648.1522961784929
166,571.4561581425669
167,651.1685971632736
168,571.7560677900652
169,615.8217575155943
170,560.7568228062439
171,577.3242978012387
172,644.5798472833314
173,604.8293299753198
174,514.8965748556042
175,564.5690591868635
176,569.347587833137
177,515.6928327402725
178,580.9762950137205
179,556.8702193879673
180,692.7688510427722
181,645.290708524144
182,530.9926012199772
183,589.4433420553999
184,719.3542790221832
185,694.2848602529647
186,726.7949924969341
187,622.5304648030598
188,515.7145260789644
189,559.6345604675276
190,626.0398526293031
191,583.0864208639392
192,581.5768651735501
193,533.1950590323636
194,531.4886115567559
195,583.0687197132962
196,500.9353249948432
197,590.9983651808309
198,595.8027688365287
199,623.2525156646863
200,543.8380920417679
201,591.3379077592001
202,518.575554974534
203,618.8491098199993
204,545.9206863105779
205,610.7379320281385
206,565.0442122645418
207,614.75472815765
208,474.1415485563984
209,569.6235207874344
210,724.5358549228894
211,592.1960302103661
212,558.9288658147419
213,652.7539984400692
214,526.1945582592471
215,668.8743003393341
216,565.8359520293009
217,573.4578113908157
218,619.4292388333806
219,503.55543793247557
220,599.4535521506393
221,656.4634837430668
222,714.5038737258618
223,596.5526214606624
224,539.9732874394612
225,549.2686093421629
226,543.8853441083836
227,534.3358392289141
228,603.1620019814335
229,576.931221036218
230,569.248878771345
231,483.67197640348604
232,508.53907109959664
233,548.0533091560334
234,579.9741251844193
235,551.984413627428
236,545.1889192430405
237,597.2199334493955
238,614.4405083490681
239,627.4689578907326
240,495.8954521084948
241,727.4713891003162
242,683.5876195197227
243,534.4560999656593
244,566.9331442652186
245,567.4018884763065
246,672.9848818814414
247,590.0418300816793
248,592.3557944627729
249,570.8013724745749
250,793.4235006011801
251,491.97187287196965
252,606.6500830687622
253,574.4524697442945
254,569.1468031779922
255,608.0499540627354
256,523.6530264046081
257,552.2926633721418
258,697.8514426598643
259,619.3646980020766
260,620.6501239949675
261,549.7849782970287
262,560.0020069888635
263,659.2682275159287
264,605.2349538634364
265,619.2038250542815
266,544.4661870531717
267,590.8235765725196
268,505.70187746427837
269,567.0082170711781
270,564.3189772498401
271,545.9848287298851
272,570.7679139312926
273,538.0502109077523
274,652.0389392532888
275,496.53383120154353
276,576.3261676195617
277,546.5289143534353
278,502.05182037206123
279,651.154448793259
280,552.3025753490192
281,577.7689960080552
282,661.4356085673796
283,693.696387433834
284,568.6308651648636
285,510.10821443843054
286,557.5494767748887
287,641.1789283868808
288,647.3737983950596
289,685.726944793846
290,629.0606550040264
291,584.4261301803597
292,573.54177820459
293,650.1598551365205
294,652.8175411590996
295,493.3575118082006
296,556.8623053513505
297,548.5853863440108
298,566.8893311144176
299,550.4703199788629
300,687.4726587349454
301,555.8848306959991
302,610.3167819696723
303,613.7069958613232
304,551.3606161701827
305,523.228338114379
306,622.2249395747748
307,815.5070504922472
308,720.1085600745553
309,606.4275014867328
310,572.6652963458191
311,644.6139507992718
312,628.6464830256633
313,657.075850794066
314,528.7655155783043
315,606.8289856510798
316,513.7771627211049
317,566.5730698466635
318,623.1159436505311
319,596.5339047876978
320,569.6178216946773
321,570.21935847741
322,577.0482894567032
323,587.7666806139654
324,584.8873821191669
325,589.70760630522
326,562.7938277740212
327,574.4922026999864
328,593.9588845780781
329,628.7133722405224
330,641.6035053551537
331,690.4064399056205
332,657.9111305400728
333,496.78483167430284
334,544.0546600575294
335,765.0739686557073
336,601.9539017335169
337,577.8737286644855
338,655.0910745764281
339,486.69859556134554
340,621.4000920857852
341,629.6089243274404
342,482.7763817747485
343,567.0551909152166
344,576.360842851385
345,536.836874202715
346,614.5793740531194
347,502.4457619426432
348,515.690067693967
349,608.244581890056
350,698.3363786118188
351,604.4410621919914
352,517.0372865030912
353,579.894546251017
354,484.42611381938775
355,636.648872005642
356,589.1097559909217
357,594.0299408630568
358,580.5172989591226
359,609.162395134775
360,591.479480010426
361,560.6691059430157
362,713.3436977653472
363,524.78436917063
364,559.1276313521236
365,507.94797188123414
366,610.1955685236445
367,646.9382144406469
368,532.1029843840748
369,634.3819050061934
370,518.9801869938628
371,578.9640332130703
372,547.6783412168928
373,528.7173817161855
374,592.8495198721685
375,622.5317318424335
376,555.1580729559363
377,562.758996784818
378,561.7307883068946
379,743.0512172231159
380,608.5054989602611
381,718.6738469172157
382,534.1745734475263
383,570.935525764093
384,623.7854531379403
385,570.8640523922784
386,514.4729590655566
387,588.7707162099766
388,567.8284145188125
389,587.3621822004325
390,520.8213331606006
391,641.5942288805061
392,601.8958696946812
393,511.15072854496503
394,571.2075979545049
395,525.9160139390218
396,568.0208556611517
397,620.1144006172029
398,640.3047068991175
399,553.4005496606761
400,527.294669520608
401,631.7058300594091
402,485.27063566817355
403,575.4403466451164
404,521.6930593487045
405,587.1624802264889
406,667.0793024062015
407,557.0940309390993
408,584.1840946732461
409,639.9471150950577
410,581.7951412506222
411,638.1180464826425
412,568.8026798301452
413,494.66201353669004
414,552.3570730332254
415,645.0638812125085
416,696.5717569301777
417,677.2084889543477
418,525.7736263717093
419,704.0514068907195
420,534.4473832363656
421,516.741776755105
422,629.4801735998201
423,613.6327843196692
424,562.8183332444445
425,577.2561464021765
426,630.7675654482481
427,587.8743091783622
428,534.2769199310408
429,591.1042854472233
430,543.0096138178177
431,518.4797198189958
432,507.47267158093257
433,609.2099423041274
434,578.7883897004085
435,563.8605141719177
436,577.623566896809
437,692.7196224289223
438,611.030567173018
439,675.2188721593757
440,665.4987996800128
441,550.7470781502096
442,581.7915400183552
443,638.4897623980635
444,671.8951616432545
445,594.7825500952
446,668.984088953731
447,599.5799220881597
448,526.0349550975413
449,571.1964380993996
450,646.3692220746009
451,694.8729240786503
452,543.4857448970071
453,645.9167954680022
454,578.5256759529658
455,503.4021537740219
456,621.2004874866838
457,638.9179550980015
458,585.3302526939905
459,511.3456480693304
460,577.0449898089659
461,577.2986067591065
462,603.9097373826155
463,578.9382703790669
